contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,underlying,expiry,snapshot_date
AVGO251219C00032000,2025-11-13 16:44:02+00:00,32.0,302.95,326.15,329.05,0.0,0.0,10.0,36.0,9.691410192871093,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00033000,2025-04-09 17:18:43+00:00,33.0,130.35,174.6,176.15,0.0,0.0,1.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00034000,2025-11-18 15:20:13+00:00,34.0,304.3,324.15,327.05,0.0,0.0,7.0,7.0,9.429691606445312,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00035000,2025-11-25 20:43:32+00:00,35.0,350.9,323.15,326.05,0.0,0.0,10.0,49.0,9.304691684570313,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00036000,2025-12-12 16:41:42+00:00,36.0,326.06,322.15,325.05,16.359985,5.2825265,2.0,18.0,9.183598010253906,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00037000,2025-12-12 16:41:42+00:00,37.0,325.08,321.15,324.05,212.27998,188.19147,2.0,0.0,9.066410583496094,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00038000,2025-04-07 19:09:43+00:00,38.0,115.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00039000,2025-04-07 19:28:14+00:00,39.0,114.7,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00040000,2025-11-24 17:03:21+00:00,40.0,330.75,318.2,321.05,0.0,0.0,1.0,124.0,8.738285788574217,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00041000,2025-04-29 17:40:03+00:00,41.0,151.5,200.35,201.95,0.0,0.0,2.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00042000,2025-06-18 19:13:26+00:00,42.0,208.93,235.15,239.0,0.0,0.0,1.0,7.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00043000,2025-04-09 17:18:43+00:00,43.0,120.7,164.85,166.35,0.0,0.0,1.0,16.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00044000,2025-11-07 14:30:08+00:00,44.0,308.45,314.2,317.05,0.0,0.0,1.0,17.0,8.339848537597657,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00045000,2025-12-12 20:56:53+00:00,45.0,315.16,313.4,316.05,-49.48999,-13.571917,8.0,70.0,8.246098596191406,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00046000,2025-04-07 19:17:59+00:00,46.0,108.65,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00047000,2025-09-22 16:05:33+00:00,47.0,297.0,293.7,297.0,0.0,0.0,1.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00048000,2025-04-29 15:28:15+00:00,48.0,144.36,193.95,194.8,0.0,0.0,20.0,22.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00049000,2025-09-22 16:05:33+00:00,49.0,295.0,291.85,294.7,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00050000,2025-09-22 15:16:56+00:00,50.0,293.79,290.7,294.0,0.0,0.0,8.0,41.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00051000,2025-04-07 18:51:08+00:00,51.0,103.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00052000,2025-04-07 18:54:47+00:00,52.0,102.05,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00053000,2025-11-20 14:30:12+00:00,53.0,316.3,305.25,308.05,0.0,0.0,,3.0,7.578125527343751,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00054000,2025-04-11 15:00:07+00:00,54.0,125.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00055000,2025-12-01 17:19:24+00:00,55.0,337.38,303.25,306.05,0.0,0.0,5.0,47.0,7.427735090332031,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00056000,2025-09-26 15:20:50+00:00,56.0,277.73,284.75,287.9,0.0,0.0,237.0,907.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00057000,2025-11-12 15:50:05+00:00,57.0,299.28,301.25,304.1,0.0,0.0,30.0,1653.0,7.335938330078125,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00058000,2025-04-07 17:56:32+00:00,58.0,98.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00059000,2025-11-19 16:18:01+00:00,59.0,292.05,299.25,302.1,0.0,0.0,66.0,326.0,7.19726662841797,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00060000,2025-12-01 17:20:32+00:00,60.0,332.29,298.25,301.05,0.0,0.0,3.0,469.0,7.078126152343751,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00061000,2025-12-12 14:33:52+00:00,61.0,313.0,297.25,300.05,21.700012,7.449369,3.0,217.0,7.013673107910157,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00062000,2025-09-15 19:01:31+00:00,62.0,303.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00063000,2025-04-07 14:29:06+00:00,63.0,86.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00064000,2025-04-07 18:55:41+00:00,64.0,91.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00065000,2025-10-21 18:46:34+00:00,65.0,277.68,319.6,322.35,0.0,0.0,1.0,1013.0,15.978515638427734,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00066000,2025-04-07 14:29:05+00:00,66.0,84.2,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00067000,2025-10-02 15:03:35+00:00,67.0,272.55,273.8,276.75,0.0,0.0,2.0,103.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00068000,2025-10-21 13:47:04+00:00,68.0,278.15,316.85,319.3,0.0,0.0,10.0,194.0,15.499512031555176,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00069000,2025-11-25 20:50:00+00:00,69.0,318.0,289.2,292.05,0.0,0.0,1.0,61.0,6.52539246826172,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00070000,2025-09-19 19:50:10+00:00,70.0,275.07,270.8,273.85,0.0,0.0,10.0,464.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00071000,2025-12-11 20:59:10+00:00,71.0,334.25,287.2,290.05,0.0,0.0,1.0,128.0,6.414064482421875,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00072000,2025-04-07 18:56:19+00:00,72.0,83.8,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00073000,2025-11-06 16:49:40+00:00,73.0,283.0,285.25,288.05,0.0,0.0,20.0,60.0,6.304689619140625,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00074000,2025-10-17 15:55:04+00:00,74.0,272.45,310.65,313.35,0.0,0.0,5.0,58.0,14.565918865051271,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00075000,2025-12-04 14:46:10+00:00,75.0,306.41,283.25,286.05,0.0,0.0,4.0,459.0,6.1992210009765625,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00076000,2025-04-09 17:18:43+00:00,76.0,90.75,133.3,134.8,0.0,0.0,1.0,115.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00077000,2025-06-12 14:30:26+00:00,77.0,180.94,197.8,199.4,0.0,0.0,10.0,54.0,1.0000000000000003e-05,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00078000,2025-12-12 14:57:08+00:00,78.0,292.06,280.2,283.05,61.759995,26.817194,10.0,339.0,6.04687744140625,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00079000,2025-11-03 19:46:42+00:00,79.0,284.65,279.25,282.05,0.0,0.0,1.0,63.0,5.998049377441406,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
AVGO251219C00080000,2025-12-12 17:51:17+00:00,80.0,284.0,278.2,281.05,-43.950012,-13.401437,7.0,5344.0,5.9492213134765635,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
